product_name,rating_number,rating_counter,product_price,number_reviews,sold_count,satisfaction,shop_name,shop_rating,shop_rating_counter,product_for
"Spotec Running Thunder Sepatu Lari Pria Wanita - Biru Tua Putih - BiruTua, 38",4.9,(139 rating),Rp254.900,Menampilkan 10 dari 60 ulasan,Terjual 100+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
BRODO - Running Shoes Active Krakatau 2.0 White Black - 36,5,(3 rating),Rp589.000,Menampilkan 2 dari 2 ulasan,Terjual 11,100% pembeli merasa puas,Brodo Footwear_NEW,4.9,"(168,7 rb)",Male
,,,,,,,,,,Male
BRODO - Running Shoes Active Krakatau 2.0 White Sapphire - 38,5,(1 rating),Rp589.000,unknown,Terjual 2,100% pembeli merasa puas,Brodo Footwear_NEW,4.9,"(168,7 rb)",Male
"Spotec Running Atlas Sepatu Lari Pria Wanita - Biru Tua Emas - Ukuran, 37",4.9,(569 rating),Rp332.400,Menampilkan 10 dari 386 ulasan,Terjual 1 rb+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
,,,,,,,,,,Male
"Sepatu Lari 910 Nineten Ekiden Infiknit - Biru Tua/Biru, 40",4.9,(14 rating),Rp529.900,Menampilkan 4 dari 4 ulasan,Terjual 20,100% pembeli merasa puas,Kayak Outdoor,4.9,"(17,6 rb)",Male
Spotec Running Easton Sepatu Lari Pria Wanita - Biru Muda Biru Muda - 37,4.9,(173 rating),Rp339.900,Menampilkan 10 dari 121 ulasan,Terjual 250+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
,,,,,,,,,,Male
"Spotec Running Forza Sepatu Lari Pria Wanita - AbuTua, 40",4.9,(55 rating),Rp319.900,Menampilkan 10 dari 24 ulasan,Terjual 100+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
"Spotec Running Omega Sepatu Lari Pria Wanita - Abu Tua Oranye - Ukuran, 38",4.9,(114 rating),Rp370.400,Menampilkan 10 dari 78 ulasan,Terjual 250+,99% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
"Spotec Running Uptown Sepatu Lari Pria Wanita - Coklat Tua Biru Muda Abu Muda - Coklat Tua/Hitam, 37",4.9,(130 rating),Rp339.900,Menampilkan 10 dari 96 ulasan,Terjual 250+,97% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
"Spotec Running Omega Sepatu Lari Pria Wanita - Hijau Tosca Hijau Cerah - Ukuran, 40",4.9,(131 rating),Rp370.400,Menampilkan 10 dari 89 ulasan,Terjual 250+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
Spotec Running Orbit Sepatu Lari Pria Wanita Putih - Biru Tua - 38,4.9,(36 rating),Rp359.900,Menampilkan 10 dari 26 ulasan,Terjual 100+,100% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
"Spotec Running Valor Sepatu Lari Pria Wanita - Abu Tua - ABUTUA, 45",4.9,(156 rating),Rp287.900,Menampilkan 10 dari 64 ulasan,Terjual 250+,98% pembeli merasa puas,Spotec,4.9,"(33,4 rb)",Male
Mills Sepatu Lari Running Shoes Treximo Saga V2 Red Fiesta / Black / Neon / White 9101209 - 37,5,(16 rating),Rp359.200,Menampilkan 10 dari 10 ulasan,Terjual 40+,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"Mills Sepatu Lari Running Shoes Enermax Tycoon LT Blue / Orange / White 9102702 - LBlu/Org/Wht, 37",5,(10 rating),Rp519.200,Menampilkan 7 dari 7 ulasan,Terjual 28,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"Mills Sepatu Lari Running Shoes Enermax Dynaplate LT Grey / White / Black 9100705 - LGry/Wht/Blk, 38",5,(36 rating),Rp549.000,Menampilkan 10 dari 17 ulasan,Terjual 90+,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"Techdoo Sepatu Pria Casual Sepatu Olahraga Running Shoes Outdoor Antiselip MR186 - Hitam, 39",5,(3 rating),Rp115.400,Menampilkan 2 dari 2 ulasan,Terjual 3,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"MILLS SEPATU LIFESTYLE TRIPOLI STAR WHITE/GUM 9701410 - WHITE/GUM, 40",5,(5 rating),Rp369.000,unknown,Terjual 14,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"Techdoo Sepatu Pria Olahraga Lari Sneakers Karet Keren Sepatu Kets Casual Running Shoes Anti Slip KSR737 - Putih, 39",5,(2 rating),Rp170.000,Menampilkan 1 dari 1 ulasan,Terjual 3,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"Techdoo Sepatu Sneakers Pria Sepatu Kerja Cowok Sepatu Lari Sepatu Jogging Olahraga Trendy Sepatu Kuliah ML102 - Hitam Polos, 42",5,(6 rating),Rp122.500,Menampilkan 4 dari 4 ulasan,Terjual 30+,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"Techdoo Sepatu Pria Hitam Casual Sneakers Olahraga Sepatu Sekolah Kasual Kerja Dewasa Anti Slip SML101 - HITAM, 40",5,(1 rating),Rp139.000,unknown,Terjual 8,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"MILLS SEPATU LARI RUNNING SHOES TREXIMO SAGA M3 WHITE / LIME GREEN / TURQOUISE 9106104 - WHT/LGRN/TRQ, 37",5,(4 rating),Rp469.000,Menampilkan 2 dari 2 ulasan,Terjual 13,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"Nukus Sepatu Kets Runing Pria Tali Nukus Hitam Putih - NKTM 05 - Hitam, 39",5,(3 rating),Rp120.000,unknown,Terjual 3,100% pembeli merasa puas,NukusFootwear,4.8,"(12,5 rb)",Male
"Techdoo Sepatu Olahraga Lari Pria Running Shoes Man Sport Fleksible Sepatu Cowok Keren MR174 - Cokelat, 42",5,(7 rating),Rp129.000,Menampilkan 2 dari 2 ulasan,Terjual 7,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"Techdoo Sepatu Running Pria Sport Sepatu Olahraga Lari Sneakers MR709 - Hitam, 41",5,(9 rating),Rp132.000,Menampilkan 4 dari 4 ulasan,Terjual 13,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"MILLS SEPATU LARI RUNNING SHOES ENERMAX NANOKNIT WHITE/PURPLE/ORANGE 9105104 - WHITE/PURPLE/OR, 36",5,(9 rating),Rp499.000,Menampilkan 5 dari 5 ulasan,Terjual 19,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
"MILLS Sepatu Tripoli Star DK Grey / Broken White 9701407 - DGry/BWht, 36",5,(45 rating),Rp295.200,Menampilkan 10 dari 28 ulasan,Terjual 100+,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
Precise T-Lite Run JG M1 Sepatu Olahraga Lari Pria - Navy/Green FL - 42,5,(1 rating),Rp291.445,Menampilkan 1 dari 1 ulasan,Terjual 3,100% pembeli merasa puas,Precise,4.9,"(3,4 rb)",Male
"Oxwell Hydrolicus - Sepatu Sneakers Olahraga Lari Running Pria dan Wanita Dewasa Full Putih Outdoor - FULL PUTIH, 39",5,(4 rating),Rp180.000,Menampilkan 4 dari 4 ulasan,Terjual 9,100% pembeli merasa puas,Oxwell,4.9,-695,Male
"Techdoo Sepatu Sneakers Tali Running Sport Shoes Fashion Pria KSC301 - Hitam, 39",5,(9 rating),Rp122.500,Menampilkan 1 dari 1 ulasan,Terjual 13,100% pembeli merasa puas,Techdoo,4.7,"(112,4 rb)",Male
"Mills Sepatu Lari Running Shoes Treximo Enerlite Black / White 9102006 - Black/White, 36",5,(25 rating),Rp489.000,Menampilkan 10 dari 10 ulasan,Terjual 50+,100% pembeli merasa puas,MILLS OFFICIAL,4.9,"(76,2 rb)",Male
